Jul 24 07:57:48 knight-t101 systemd[1]: Starting lods-installer.service - projekt-lods installer...
Jul 24 07:57:48 knight-t101 python3[645]: [lods] fetching answer file: http://192.168.139.50/proxmox/VRK-answer.toml
Jul 24 07:57:48 knight-t101 python3[645]: [lods] detected disk /dev/sda: size=40.0GiB model='VMware Virtual S'
Jul 24 07:57:48 knight-t101 python3[645]: [lods] detected disk /dev/sdb: size=40.0GiB model='VMware Virtual S'
Jul 24 07:57:48 knight-t101 python3[645]: [lods] partitioning /dev/sda: wiping existing table
Jul 24 07:57:49 knight-t101 python3[749]: GPT data structures destroyed! You may now partition the disk using fdisk or
Jul 24 07:57:49 knight-t101 python3[749]: other utilities.
Jul 24 07:57:49 knight-t101 python3[645]: [lods] partitioning /dev/sda: bios-boot + ESP + zfs
Jul 24 07:57:50 knight-t101 python3[843]: Creating new GPT entries in memory.
Jul 24 07:57:50 knight-t101 python3[843]: The operation has completed successfully.
Jul 24 07:57:51 knight-t101 python3[645]: [lods] partitioning /dev/sdb: wiping existing table
Jul 24 07:57:52 knight-t101 python3[878]: GPT data structures destroyed! You may now partition the disk using fdisk or
Jul 24 07:57:52 knight-t101 python3[878]: other utilities.
Jul 24 07:57:52 knight-t101 python3[645]: [lods] partitioning /dev/sdb: bios-boot + ESP + zfs
Jul 24 07:57:53 knight-t101 python3[882]: Creating new GPT entries in memory.
Jul 24 07:57:53 knight-t101 python3[882]: The operation has completed successfully.
Jul 24 07:57:54 knight-t101 python3[645]: [lods] formatting /dev/sda2 as FAT32 (EFI)
Jul 24 07:57:54 knight-t101 python3[1045]: mkfs.fat 4.2 (2021-01-31)
Jul 24 07:57:54 knight-t101 python3[645]: [lods] formatting /dev/sdb2 as FAT32 (EFI1)
Jul 24 07:57:55 knight-t101 python3[1046]: mkfs.fat 4.2 (2021-01-31)
Jul 24 07:57:55 knight-t101 python3[645]: [lods] creating rpool mirror across ['/dev/sda3', '/dev/sdb3']
Jul 24 07:57:55 knight-t101 python3[645]: [lods] rpool/ROOT/debian mounted at /target (via altroot)
Jul 24 07:57:55 knight-t101 python3[645]: [lods] debootstrap trixie -> /target
Jul 24 07:57:55 knight-t101 python3[1102]: I: Retrieving InRelease
Jul 24 07:57:55 knight-t101 python3[1102]: I: Checking Release signature
Jul 24 07:57:55 knight-t101 python3[1102]: I: Valid Release signature
Jul 24 07:57:56 knight-t101 python3[1102]: I: Retrieving Packages
Jul 24 07:57:56 knight-t101 python3[1102]: I: Validating Packages
Jul 24 07:57:57 knight-t101 python3[1102]: I: Resolving dependencies of required packages...
Jul 24 07:57:59 knight-t101 python3[1102]: I: Resolving dependencies of base packages...
Jul 24 07:58:02 knight-t101 python3[1102]: I: Checking component main on http://deb.debian.org/debian...
Jul 24 07:58:03 knight-t101 python3[1695]: I: Retrieving adduser 3.152
Jul 24 07:58:03 knight-t101 python3[1695]: I: Validating adduser 3.152
Jul 24 07:58:03 knight-t101 python3[1695]: I: Retrieving apt 3.0.3
Jul 24 07:58:03 knight-t101 python3[1695]: I: Validating apt 3.0.3
Jul 24 07:58:03 knight-t101 python3[1695]: I: Retrieving apt-utils 3.0.3
Jul 24 07:58:03 knight-t101 python3[1695]: I: Validating apt-utils 3.0.3
Jul 24 07:58:03 knight-t101 python3[1695]: I: Retrieving base-files 13.8+deb13u6
Jul 24 07:58:04 knight-t101 python3[1695]: I: Validating base-files 13.8+deb13u6
Jul 24 07:58:04 knight-t101 python3[1695]: I: Retrieving base-passwd 3.6.7
Jul 24 07:58:04 knight-t101 python3[1695]: I: Validating base-passwd 3.6.7
Jul 24 07:58:04 knight-t101 python3[1695]: I: Retrieving bash 5.2.37-2+b9
Jul 24 07:58:04 knight-t101 python3[1695]: I: Validating bash 5.2.37-2+b9
Jul 24 07:58:04 knight-t101 python3[1695]: I: Retrieving bsdutils 1:2.41-5
Jul 24 07:58:04 knight-t101 python3[1695]: I: Validating bsdutils 1:2.41-5
Jul 24 07:58:04 knight-t101 python3[1695]: I: Retrieving coreutils 9.7-3
Jul 24 07:58:04 knight-t101 python3[1695]: I: Validating coreutils 9.7-3
Jul 24 07:58:04 knight-t101 python3[1695]: I: Retrieving cpio 2.15+dfsg-2
Jul 24 07:58:04 knight-t101 python3[1695]: I: Validating cpio 2.15+dfsg-2
Jul 24 07:58:04 knight-t101 python3[1695]: I: Retrieving cron 3.0pl1-197
